"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13448131,"28_G_Male_B.mp3",28,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13451398,"29_G_Fem_A.mp3",29,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
13451398,"56_VG_Fem_B.mp3",56,"list_16","bicultural viet-german","deutsch",3,0,"monocultural german",2.58,,,
13451398,"37_VG_Fem_D.mp3",37,"list_16","bicultural viet-german","deutsch",4,0,"monocultural german",2.58,,,
13451398,"28_G_Fem_B.mp3",28,"list_16","monocultural german","deutsch",3,1,"monocultural german",2.58,,,
13451398,"6_G_Male_C.mp3",6,"list_16","monocultural german","deutsch",5,1,"monocultural german",2.58,,,
13451398,"7_G_Male_B.mp3",7,"list_16","monocultural german","deutsch",3,1,"monocultural german",2.58,,,
13451398,"26_G_Fem_D.mp3",26,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
13451398,"4_G_Fem_A.mp3",4,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"33_G_Male_B.mp3",33,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"16_VG_Male_D.mp3",16,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"8_G_Male_A.mp3",8,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
13451398,"55_VG_Fem_C.mp3",55,"list_16","bicultural viet-german","deutsch",2,0,"monocultural german",2.58,,,
13451398,"27_G_Fem_C.mp3",27,"list_16","monocultural german","vietdeutsch",2,0,"monocultural german",2.58,,,
13451398,"39_VG_Fem_B.mp3",39,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"45_G_Fem_D.mp3",45,"list_16","monocultural german","deutsch",3,1,"monocultural german",2.58,,,
13451398,"53_G_Male_A.mp3",53,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"22_VG_Male_B.mp3",22,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"1_G_Fem_D.mp3",1,"list_16","monocultural german","deutsch",3,1,"monocultural german",2.58,,,
13451398,"3_G_Fem_B.mp3",3,"list_16","monocultural german","deutsch",3,1,"monocultural german",2.58,,,
13451398,"2_G_Fem_C.mp3",2,"list_16","monocultural german","deutsch",4,1,"monocultural german",2.58,,,
13451398,"11_VG_Fem_C.mp3",11,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"35_G_Male_A.mp3",35,"list_16","monocultural german","deutsch",5,1,"monocultural german",2.58,,,
13451398,"61_VG_Male_C.mp3",61,"list_16","bicultural viet-german","vietdeutsch",2,1,"monocultural german",2.58,,,
13451398,"51_G_Male_C.mp3",51,"list_16","monocultural german","vietdeutsch",2,0,"monocultural german",2.58,,,
13451398,"62_VG_Male_B.mp3",62,"list_16","bicultural viet-german","vietdeutsch",4,1,"monocultural german",2.58,,,
13451398,"57_VG_Fem_A.mp3",57,"list_16","bicultural viet-german","deutsch",4,0,"monocultural german",2.58,,,
13451398,"30_G_Male_D.mp3",30,"list_16","monocultural german","deutsch",5,1,"monocultural german",2.58,,,
