"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
"13427399","43_G_Fem_C.mp3",43,"list_13","monocultural german","vietdeutsch",3,0,"monocultural german",4,0,0,0
"13427399","50_G_Male_A.mp3",50,"list_13","monocultural german","vietdeutsch",2,0,"monocultural german",4,0,0,0
"13436837","53_VG_Fem_C.mp3",53,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","18_VG_Male_A.mp3",18,"list_14","bicultural viet-german","vietdeutsch",4,1,"monocultural german",3,0,0,0
"13436837","31_G_Male_A.mp3",31,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","62_G_Fem_D.mp3",62,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","59_VG_Male_B.mp3",59,"list_14","bicultural viet-german","deutsch",4,0,"monocultural german",3,0,0,0
"13436837","8_VG_Fem_C.mp3",8,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","4_G_Male_C.mp3",4,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","14_VG_Male_D.mp3",14,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","1_G_Fem_B.mp3",1,"list_14","monocultural german","deutsch",4,1,"monocultural german",3,0,0,0
"13436837","47_G_Fem_A.mp3",47,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","44_G_Fem_C.mp3",44,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","43_G_Fem_D.mp3",43,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","29_G_Male_C.mp3",29,"list_14","monocultural german","deutsch",4,1,"monocultural german",3,0,0,0
"13436837","26_G_Fem_B.mp3",26,"list_14","monocultural german","deutsch",4,1,"monocultural german",3,0,0,0
"13436837","41_VG_Male_B.mp3",41,"list_14","bicultural viet-german","deutsch",2,0,"monocultural german",3,0,0,0
"13436837","56_VG_Male_D.mp3",56,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","52_VG_Fem_D.mp3",52,"list_14","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13436837","30_G_Male_B.mp3",30,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","3_G_Male_D.mp3",3,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","48_G_Male_D.mp3",48,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","38_VG_Fem_A.mp3",38,"list_14","bicultural viet-german","deutsch",3,0,"monocultural german",3,0,0,0
"13436837","7_VG_Fem_D.mp3",7,"list_14","bicultural viet-german","vietdeutsch",3,1,"monocultural german",3,0,0,0
"13436837","54_VG_Fem_B.mp3",54,"list_14","bicultural viet-german","vietdeutsch",4,1,"monocultural german",3,0,0,0
"13436837","55_VG_Fem_A.mp3",55,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","11_VG_Fem_A.mp3",11,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","50_G_Male_B.mp3",50,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","40_VG_Male_C.mp3",40,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","39_VG_Male_D.mp3",39,"list_14","bicultural viet-german","deutsch",5,0,"monocultural german",3,0,0,0
"13436837","5_G_Male_B.mp3",5,"list_14","monocultural german","deutsch",5,1,"monocultural german",3,0,0,0
"13436837","49_G_Male_C.mp3",49,"list_14","monocultural german","deutsch",4,1,"monocultural german",3,0,0,0
