"subject","condition","item_n","language","value","EEG.Sabia","EEG.Jannis","OQPT_Score","ELT_Score","WM_Score","VF_Score","Year.of.Birth","Gender","Highest.Reached.Educational.Level","Student.Status..No..BA.MA.PhD.","proficiency_centered"
1,"grammatical",3,"DE",1.5848271973466,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",4,"DE",12.7209533996683,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",5,"DE",3.74996094527363,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",6,"DE",3.326578026534,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",12,"DE",6.46344154228856,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",14,"DE",6.03365895522388,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",15,"DE",-10.5127014925373,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",17,"DE",11.0033471807629,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",20,"DE",6.46096550580431,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",24,"DE",-12.3347752902156,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",26,"DE",-0.292271061359867,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",27,"DE",7.67866053067993,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",28,"DE",-12.3817250414594,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",29,"DE",3.53881260364843,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",31,"DE",3.64505729684909,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",32,"DE",0.978562023217248,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",35,"DE",11.4293979270315,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",39,"DE",0.867978192371477,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",40,"DE",-6.83121550580431,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",42,"DE",13.9471667495854,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",44,"DE",-7.77024585406301,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",46,"DE",-1.37803067993367,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",47,"DE",-9.44739469320067,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",48,"DE",4.37658150912106,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",49,"DE",-7.09762885572139,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",50,"DE",-2.27615165837479,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",55,"DE",8.23720679933666,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",57,"DE",9.91161218905473,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",58,"DE",-4.28785298507463,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",62,"DE",11.9262830845771,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",63,"DE",0.422114676616913,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",64,"DE",3.39832902155887,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",65,"DE",6.22697943615257,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",66,"DE",27.0890459369817,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",67,"DE",4.30881865671641,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",68,"DE",0.103593698175788,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",108,"EN",-18.0109676616915,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
1,"grammatical",110,"EN",19.3655326699834,"y","y",53,59,-0.412450339941012,0.720109625404078,1999,"f","Abitur","BA",0.594104679813157
